Author-Any,BL Record ID
"Barnes, Robert Leslie.",12216741
"Barney annual (Exeter, England)",7892018
"Baron, David.",6918048
"Baron, Mike",6745287
"Baron, Mike",6745287
"Baron, Mike",10730985
"Baron, Mike",10761889
"Baron, Mike",12029268
"Baron, Mike",12286205
"Baron, Mike",12286241
"Baron, Mike",15104118
"Barr, Mike W.",5658936
"Barr, Mike W.",6735624
"Barr, Mike W.",10731255
"Barr, Mike W.",13148577
"Barr, Mike W.",14777917
"Barr, Mike W.",14894693
"Barr, Mike W.",15781237
"Barr, Mike W.",10761547
"Barr, Mike W.",12029071
"Barr, Mike W.",12029270
"Barr, Mike W.",12029385
"Barr, Mike W.",14894892
"Barr, Mike W..",6731444
"Barr, Steve",8128464
"Barr, Steve",8128464
"Barr, Steve",8128465
"Barr, Steve",8128465
"Barr, Steve",8128466
"Barr, Steve",8128466
"Barrand, Paul.",14705510
"Barrell, Tony.",7681322
"Barreto, Diego",16684100
"Barreto, Eduardo.",13290337
"Barreto, Eduardo.",13527607
"Barreto, Luis Eduardo.",10731183
"Barreto, Luis Eduardo.",10731228
"Barrett, David E.",9477187
"Barrett, Philip.",16208551
"Barrie, J. M.",10687589
"Barrie, J. M.",16246879
"Barrionuevo, Al.",13366271
"Barron's Educational Series, Inc.",9437971
"Barron, Fred.",10345525
"Barron, Fred.",12900450
Barroux,16548484
"Barrows, Eddy.",14778072
"Barrows, Eddy.",15484347
"Barrows, Eddy.",15584543
"Barrows, Eddy.",15679467
"Barrows, Eddy.",16020021
"Barry, James L.",14536551
"Barry, Lynda",14787957
"Barsotti, C.",11359272
"Barsotti, Charles.",12030657
"Bartlet, Emma.",13389919
"Bartoll, Jean-Claude.",15109841
"Bartoll, Jean-Claude.",15468962
"Bartoll, Jean-Claude.",15573103
"Barzilay, Rod",16294490
Basic Skills Agency.,9748288
Basic Skills Agency.,10973263
Basic Skills Agency.,10973264
Basic Skills Agency.,10973265
Basic Skills Agency.,10974826
Basic Skills Agency.,11320212
Basic Skills Agency.,12919360
"Baskerville, Stephen.",10761666
"Baskerville, Stephen.",13106943
"Basri, Sami.",15794622
"Basri, Sami.",15794622
"Bass, Guy.",13283393
"Bass, Ian.",13283393
"Bastian, Jeremy",15639270
"Batchelor, Tim.",15495144
"Batellier, J. F.",8136345
"Bateman, H. M.",8332445
"Bateman, H. M.",9029070
"Bateman, H. M.",10095610
"Bateman, H. M.",11021605
"Bateman, H. M.",11328732
"Bateman, H. M.",11577823
"Bateman, H. M.",11963452
"Bateman, H. M.",12038272
"Bateman, Henry Mayo.",7432608
"Bateman, Henry Mayo.",7432609
"Bateman, Henry Mayo.",9451199
"Bateman, Michael",9925501
"Bates, Ben",16143588
"Bates, H. E.",8991684
"Bates, James",13415599
"Bates, James",13678590
"Bates, James",14531406
"Bates, James",15739007
"Bates, James",15995665
"Bates, Karen.",13415599
"Bates, Karen.",13678590
"Bates, Karen.",14531406
"Bates, Karen.",14656133
"Bates, Karen.",14822239
"Bates, Karen.",15690807
Bath Municipal Libraries.,11605864
"Batista, Adriano.",16020414
"Batista, Chris.",10731235
"Batista, Chris.",15484339
"Batista, Chris.",15757989
"Batista, Chris.",15856113
"Batista, Chris.",16118331
"Batman (London, England : 2012)",16132948
Battle (London : 1986),7065605
"Battle, Craig",15842000
"Battle, Eric.",14101136
"Baugh, Matthew",16684752
"Baum, L. Frank",10687586
"Baum, L. Frank",15448489
"Baumann, Moose.",15357687
"Baumann, Moose.",15484231
"Baxendale, Leo.",6733461
"Baxendale, Leo.",6733465
"Baxendale, Leo.",8091391
"Baxendale, Leo.",9469594
"Baxendale, Leo.",9469595
"Baxendale, Leo.",9469596
"Baxendale, Leo.",9469598
"Baxendale, Leo.",9469599
"Baxendale, Leo.",13217358
"Baxendale, Leo.",15498264
"Baxendale, Martin.",9469855
"Baxendale, Martin.",9469857
"Baxendale, Martin.",9469858
"Baxendale, Martin.",10124632
"Baxendale, Martin.",13437613
