title,release_date,pages,publisher,description,barcode,isbn,edition,category,rating,book_id,image_fpath,summary,price
The master and Margarita :a graphic novel,01/01/2008,,Self Made Hero,,14669005,9.78E+12,1,Graphic novels.,,98022,,,
Hiyama,01/01/2008,,Tabella,,14674246,9.78E+12,1,Graphic novels.,,98023,,,
The Broons :facsimile edition of the first ever Broons and Oor Wullie annuals ;Oor Wullie,01/01/2008,,Aurum,,14674779,9.78E+12,1,Graphic novels.,,98024,,,
Gasoline,01/01/2008,,Merrell,,14675063,9.78E+12,1,Graphic novels.,,98025,,,
Fyodor Dostoevsky's Crime & punishment :a graphic novel,01/01/2008,,Self Made Hero,,14680573,9.78E+12,1,Graphic novels.,,98029,,,
Howard Chaykin's American Flagg!.,01/01/2008,,Titan,,14680869,9.78E+12,1,Graphic novels.,,98030,,,
American Flagg,01/01/2008,,Titan,,14680870,9.78E+12,1,Graphic novels.,,98031,,,
Oh my goddess!,01/01/2008,,Titan,,14680872,9.78E+12,1,Graphic novels.,,98032,,,
Janes in love,01/01/2008,,Titan,,14680875,9.78E+12,1,Graphic novels.,,98033,,,
Charley's war :return to the front,01/01/2008,,Titan,,14680877,9.78E+12,1,Graphic novels.,,98034,,,
The best of Battle.,01/01/2009,,Titan,,14680946,9.78E+12,1,Graphic novels.,,98035,,,
The misadventures of Jane,01/01/2009,,Titan,,14680955,9.78E+12,1,Graphic novels.,,98036,,,
Polestar,01/01/2008,,Titan Books,,14702753,9.78E+12,1,Graphic novels.,,98040,,,
Green Arrow/Black Canary :the wedding album,01/01/2008,,Titan,,14702755,9.78E+12,1,Graphic novels.,,98041,,,
Dead mothers,01/01/2008,,Titan,,14702768,9.78E+12,1,Graphic novels.,,98042,,,
Token,01/01/2008,,Titan,,14760951,9.78E+12,1,Graphic novels.,,98044,,,
Romeo and Juliet :the graphic novel,01/01/2009,,Classical,,14778208,9.78E+12,1,Graphic novels.,,98047,,,
Walking the dog,01/01/2009,,Jonathan Cape,,14782575,9.78E+12,1,Graphic novels.,,98050,,,
H,01/01/2009,,Cinebook,,14789131,9.78E+12,1,Graphic novels.,,98053,,,
Richard III :the graphic novel,01/01/2009,,Classical,,14800637,9.78E+12,1,Graphic novels.,,98054,,,
Simpsons Comics hit the road!,01/01/2008,,Titan,,14822239,9.78E+12,1,Graphic novels.,,98058,,,
Jamilti & other stories,01/01/2009,,Jonathan Cape,,14836374,9.78E+12,1,Graphic novels.,,98059,,,
Jim Butcher's The Dresden files :welcome to the jungle,01/01/2008,,Titan Books Ltd,,14842588,9.78E+12,1,Graphic novels.,,98063,,,
Sinister Dexter.,01/01/2009,,Rebellion,,14853211,9.78E+12,1,Graphic novels.,,98064,,,
Another dollar,01/01/2009,,Titan,,14864696,9.78E+12,1,Graphic novels.,,98069,,,
The losers.,01/01/2009,,Titan,,14927198,9.78E+12,1,Graphic novels.,,98086,,,
100%,01/01/2009,,Titan,,14927200,9.78E+12,1,Graphic novels.,,98087,,,
Supergirl :way of the world,01/01/2009,,DC Comics,,14927205,9.78E+12,1,Graphic novels.,,98088,,,
Marvel masters :the art of John Buscema,01/01/2009,,Panini,,15103965,9.78E+12,1,Graphic novels.,,98092,,,
The best of Roy of the Rovers :the 1970s,01/01/2009,,Titan,,15104100,9.78E+12,1,Graphic novels.,,98093,,,
Bart Simpson :son of Homer,01/01/2009,,Titan,,15104104,9.78E+12,1,Graphic novels.,,98095,,,
A league of their own,01/01/2009,,Titan,,15104113,9.78E+12,1,Graphic novels.,,98096,,,
Arthur the legend :Bk. 1: Myrddin: wild man of the woods ; Bk. 2 : Arthur: protector of Britain,01/01/2009,,Dalen,,15104191,9.78E+12,1,Graphic novels.,,98097,,,
G.I. Joe.,01/01/2009,,Panini,,15109656,9.78E+12,1,Graphic novels.,,98098,,,
The best of G.I. Joe,01/01/2009,,Panini,,15109657,9.78E+12,1,Graphic novels.,,98099,,,
Sleeper :season one,01/01/2009,,WildStorm Productions,,15170963,9.78E+12,1,Graphic novels.,,98105,,,
Ray Bradbury's fahrenheit 451 :the authorized adaptation,01/01/2009,,Harper Voyager,,15180597,9.78E+12,1,Graphic novels.,,98108,,,
The hour of the tiger,01/01/2009,,Cinebook,,15181983,9.78E+12,1,Graphic novels.,,98111,,,
